sigma_a_Yb:CaF2_x	sigma_a_Yb:CaF2_y	sigma_e_Füchtbauer_x	sigma_e_Füchtbauer_y	sigma_e_McCumber_x	sigma_e_McCumber_y	sigma_e_average_x	sigma_e_average_y	sigma_a_average_x	sigma_a_average_y
8.13300e+02	7.46298e-24	8.13300e+02	2.41109e-23	8.13300e+02	4.49748e-28	8.13300e+02	4.49748e-28	8.13300e+02	7.46298e-24
8.13650e+02	7.22270e-24	8.13650e+02	2.08225e-23	8.13650e+02	4.46451e-28	8.13650e+02	4.46451e-28	8.13650e+02	7.22270e-24
8.14000e+02	7.77500e-24	8.14000e+02	1.86123e-23	8.14000e+02	4.92928e-28	8.14000e+02	4.92928e-28	8.14000e+02	7.77500e-24
8.14350e+02	6.25171e-24	8.14350e+02	2.00664e-23	8.14350e+02	4.06518e-28	8.14350e+02	4.06518e-28	8.14350e+02	6.25171e-24
8.14700e+02	4.13876e-24	8.14700e+02	2.40085e-23	8.14700e+02	2.76020e-28	8.14700e+02	2.76020e-28	8.14700e+02	4.13876e-24
8.15050e+02	2.29148e-24	8.15050e+02	2.66034e-23	8.15050e+02	1.56735e-28	8.15050e+02	1.56735e-28	8.15050e+02	2.29148e-24
8.15400e+02	4.68599e-24	8.15400e+02	2.54789e-23	8.15400e+02	3.28717e-28	8.15400e+02	3.28717e-28	8.15400e+02	4.68599e-24
8.15750e+02	7.83220e-24	8.15750e+02	2.22223e-23	8.15750e+02	5.63464e-28	8.15750e+02	5.63464e-28	8.15750e+02	7.83220e-24
8.16100e+02	8.94994e-24	8.16100e+02	2.04325e-23	8.16100e+02	6.60319e-28	8.16100e+02	6.60319e-28	8.16100e+02	8.94994e-24
8.16450e+02	9.92255e-24	8.16450e+02	2.16762e-23	8.16450e+02	7.50757e-28	8.16450e+02	7.50757e-28	8.16450e+02	9.92255e-24
8.16800e+02	9.93786e-24	8.16800e+02	2.40233e-23	8.16800e+02	7.71084e-28	8.16800e+02	7.71084e-28	8.16800e+02	9.93786e-24
8.17150e+02	9.53504e-24	8.17150e+02	2.46130e-23	8.17150e+02	7.58674e-28	8.17150e+02	7.58674e-28	8.17150e+02	9.53504e-24
8.17500e+02	7.67538e-24	8.17500e+02	2.29590e-23	8.17500e+02	6.26248e-28	8.17500e+02	6.26248e-28	8.17500e+02	7.67538e-24
8.17850e+02	4.89646e-24	8.17850e+02	2.11582e-23	8.17850e+02	4.09669e-28	8.17850e+02	4.09669e-28	8.17850e+02	4.89646e-24
8.18200e+02	5.07686e-24	8.18200e+02	2.11811e-23	8.18200e+02	4.35554e-28	8.18200e+02	4.35554e-28	8.18200e+02	5.07686e-24
8.18550e+02	6.23844e-24	8.18550e+02	2.27958e-23	8.18550e+02	5.48794e-28	8.18550e+02	5.48794e-28	8.18550e+02	6.23844e-24
8.18900e+02	4.84648e-24	8.18900e+02	2.44024e-23	8.18900e+02	4.37156e-28	8.18900e+02	4.37156e-28	8.18900e+02	4.84648e-24
8.19250e+02	3.97138e-24	8.19250e+02	2.51902e-23	8.19250e+02	3.67299e-28	8.19250e+02	3.67299e-28	8.19250e+02	3.97138e-24
8.19600e+02	3.13571e-24	8.19600e+02	2.56836e-23	8.19600e+02	2.97352e-28	8.19600e+02	2.97352e-28	8.19600e+02	3.13571e-24
8.19950e+02	1.99166e-24	8.19950e+02	2.63270e-23	8.19950e+02	1.93642e-28	8.19950e+02	1.93642e-28	8.19950e+02	1.99166e-24
8.20300e+02	1.78711e-24	8.20300e+02	2.64813e-23	8.20300e+02	1.78146e-28	8.20300e+02	1.78146e-28	8.20300e+02	1.78711e-24
8.20650e+02	2.20358e-24	8.20650e+02	2.53893e-23	8.20650e+02	2.25208e-28	8.20650e+02	2.25208e-28	8.20650e+02	2.20358e-24
8.21000e+02	2.21609e-24	8.21000e+02	2.36616e-23	8.21000e+02	2.32201e-28	8.21000e+02	2.32201e-28	8.21000e+02	2.21609e-24
8.21350e+02	4.51738e-24	8.21350e+02	2.29423e-23	8.21350e+02	4.85260e-28	8.21350e+02	4.85260e-28	8.21350e+02	4.51738e-24
8.21700e+02	7.59698e-24	8.21700e+02	2.39234e-23	8.21700e+02	8.36628e-28	8.21700e+02	8.36628e-28	8.21700e+02	7.59698e-24
8.22050e+02	9.56501e-24	8.22050e+02	2.53094e-23	8.22050e+02	1.07987e-27	8.22050e+02	1.07987e-27	8.22050e+02	9.56501e-24
8.22400e+02	9.71543e-24	8.22400e+02	2.52637e-23	8.22400e+02	1.12443e-27	8.22400e+02	1.12443e-27	8.22400e+02	9.71543e-24
8.22750e+02	8.98174e-24	8.22750e+02	2.36217e-23	8.22750e+02	1.06563e-27	8.22750e+02	1.06563e-27	8.22750e+02	8.98174e-24
8.23100e+02	7.42712e-24	8.23100e+02	2.20862e-23	8.23100e+02	9.03298e-28	8.23100e+02	9.03298e-28	8.23100e+02	7.42712e-24
8.23450e+02	6.03490e-24	8.23450e+02	2.21777e-23	8.23450e+02	7.52382e-28	8.23450e+02	7.52382e-28	8.23450e+02	6.03490e-24
8.23800e+02	4.56806e-24	8.23800e+02	2.35307e-23	8.23800e+02	5.83777e-28	8.23800e+02	5.83777e-28	8.23800e+02	4.56806e-24
8.24150e+02	2.40063e-24	8.24150e+02	2.45369e-23	8.24150e+02	3.14470e-28	8.24150e+02	3.14470e-28	8.24150e+02	2.40063e-24
8.24500e+02	2.37925e-24	8.24500e+02	2.42667e-23	8.24500e+02	3.19466e-28	8.24500e+02	3.19466e-28	8.24500e+02	2.37925e-24
8.24850e+02	3.88599e-24	8.24850e+02	2.31719e-23	8.24850e+02	5.34818e-28	8.24850e+02	5.34818e-28	8.24850e+02	3.88599e-24
8.25200e+02	4.21676e-24	8.25200e+02	2.20170e-23	8.25200e+02	5.94832e-28	8.25200e+02	5.94832e-28	8.25200e+02	4.21676e-24
8.25550e+02	3.68029e-24	8.25550e+02	2.08939e-23	8.25550e+02	5.32108e-28	8.25550e+02	5.32108e-28	8.25550e+02	3.68029e-24
8.25900e+02	2.67628e-24	8.25900e+02	1.97202e-23	8.25900e+02	3.96591e-28	8.25900e+02	3.96591e-28	8.25900e+02	2.67628e-24
8.26250e+02	2.20112e-24	8.26250e+02	1.91557e-23	8.26250e+02	3.34302e-28	8.26250e+02	3.34302e-28	8.26250e+02	2.20112e-24
8.26600e+02	3.72007e-24	8.26600e+02	2.01226e-23	8.26600e+02	5.79058e-28	8.26600e+02	5.79058e-28	8.26600e+02	3.72007e-24
8.26950e+02	5.23838e-24	8.26950e+02	2.22825e-23	8.26950e+02	8.35668e-28	8.26950e+02	8.35668e-28	8.26950e+02	5.23838e-24
8.27300e+02	6.88198e-24	8.27300e+02	2.37652e-23	8.27300e+02	1.12514e-27	8.27300e+02	1.12514e-27	8.27300e+02	6.88198e-24
8.27650e+02	8.35290e-24	8.27650e+02	2.30775e-23	8.27650e+02	1.39952e-27	8.27650e+02	1.39952e-27	8.27650e+02	8.35290e-24
8.28000e+02	9.03659e-24	8.28000e+02	2.10227e-23	8.28000e+02	1.55162e-27	8.28000e+02	1.55162e-27	8.28000e+02	9.03659e-24
8.28350e+02	8.57145e-24	8.28350e+02	1.99743e-23	8.28350e+02	1.50822e-27	8.28350e+02	1.50822e-27	8.28350e+02	8.57145e-24
8.28700e+02	6.96029e-24	8.28700e+02	2.10704e-23	8.28700e+02	1.25505e-27	8.28700e+02	1.25505e-27	8.28700e+02	6.96029e-24
