X0_0	Y0_0	X0_1	Y0_1	X0_2	Y0_2	X0_3	Y0_3	X0_4	Y0_4	X0_5	Y0_5
		8.13300e+02	9.51136e-24	8.13300e+02	3.63789e-26	8.13300e+02	5.73191e-28	8.13300e+02	5.73191e-28	8.13300e+02	9.51136e-24
		8.13650e+02	1.17651e-23	8.13650e+02	8.62045e-26	8.13650e+02	7.27229e-28	8.13650e+02	7.27229e-28	8.13650e+02	1.17651e-23
		8.14000e+02	1.34736e-23	8.14000e+02	4.16055e-26	8.14000e+02	8.54215e-28	8.14000e+02	8.54215e-28	8.14000e+02	1.34736e-23
		8.14350e+02	1.46842e-23	8.14350e+02	-3.14580e-26	8.14350e+02	9.54845e-28	8.14350e+02	9.54845e-28	8.14350e+02	1.46842e-23
		8.14700e+02	1.54255e-23	8.14700e+02	-2.67024e-26	8.14700e+02	1.02875e-27	8.14700e+02	1.02875e-27	8.14700e+02	1.54255e-23
		8.15050e+02	1.55223e-23	8.15050e+02	5.18925e-26	8.15050e+02	1.06171e-27	8.15050e+02	1.06171e-27	8.15050e+02	1.55223e-23
		8.15400e+02	1.53131e-23	8.15400e+02	9.42387e-26	8.15400e+02	1.07420e-27	8.15400e+02	1.07420e-27	8.15400e+02	1.53131e-23
		8.15750e+02	1.46275e-23	8.15750e+02	3.83550e-26	8.15750e+02	1.05233e-27	8.15750e+02	1.05233e-27	8.15750e+02	1.46275e-23
		8.16100e+02	1.33797e-23	8.16100e+02	-4.04430e-26	8.16100e+02	9.87145e-28	8.16100e+02	9.87145e-28	8.16100e+02	1.33797e-23
		8.16450e+02	1.18156e-23	8.16450e+02	-3.17222e-26	8.16450e+02	8.93990e-28	8.16450e+02	8.93990e-28	8.16450e+02	1.18156e-23
		8.16800e+02	1.03180e-23	8.16800e+02	5.63260e-26	8.16800e+02	8.00582e-28	8.16800e+02	8.00582e-28	8.16800e+02	1.03180e-23
		8.17150e+02	9.82140e-24	8.17150e+02	1.05420e-25	8.17150e+02	7.81458e-28	8.17150e+02	7.81458e-28	8.17150e+02	9.82140e-24
		8.17500e+02	1.02011e-23	8.17500e+02	4.87910e-26	8.17500e+02	8.32330e-28	8.17500e+02	8.32330e-28	8.17500e+02	1.02011e-23
		8.17850e+02	1.00380e-23	8.17850e+02	-3.59478e-26	8.17850e+02	8.39841e-28	8.17850e+02	8.39841e-28	8.17850e+02	1.00380e-23
		8.18200e+02	8.73382e-24	8.18200e+02	-3.19903e-26	8.18200e+02	7.49292e-28	8.18200e+02	7.49292e-28	8.18200e+02	8.73382e-24
