# wavelength in nm, signal in a.u.
8.3960e+02,4.0043e-06
8.3980e+02,3.9775e-06
8.4000e+02,3.9876e-06
8.4020e+02,4.0010e-06
8.4040e+02,3.9909e-06
8.4060e+02,3.9775e-06
8.4080e+02,3.9943e-06
8.4100e+02,3.9976e-06
8.4120e+02,3.9742e-06
8.4140e+02,3.9742e-06
8.4160e+02,3.9809e-06
8.4180e+02,3.9876e-06
8.4200e+02,3.9742e-06
8.4220e+02,3.9842e-06
8.4240e+02,3.9943e-06
8.4260e+02,3.9842e-06
8.4280e+02,3.9708e-06
8.4300e+02,3.9775e-06
8.4320e+02,3.9909e-06
8.4340e+02,3.9708e-06
8.4360e+02,3.9742e-06
8.4380e+02,3.9876e-06
8.4400e+02,3.9842e-06
8.4420e+02,3.9642e-06
8.4440e+02,3.9775e-06
8.4460e+02,3.9976e-06
8.4480e+02,3.9943e-06
8.4500e+02,3.9775e-06
8.4520e+02,3.9876e-06
8.4540e+02,3.9809e-06
8.4560e+02,3.9575e-06
8.4580e+02,3.9508e-06
8.4600e+02,3.9675e-06
8.4620e+02,3.9708e-06
8.4640e+02,3.9675e-06
8.4660e+02,3.9809e-06
8.4680e+02,3.9876e-06
8.4700e+02,3.9775e-06
8.4720e+02,3.9675e-06
8.4740e+02,3.9809e-06
8.4760e+02,3.9876e-06
8.4780e+02,3.9675e-06
8.4800e+02,3.9608e-06
8.4820e+02,3.9809e-06
8.4840e+02,3.9775e-06
8.4860e+02,3.9642e-06
8.4880e+02,3.9842e-06
8.4900e+02,4.0010e-06
8.4920e+02,3.9909e-06
8.4940e+02,3.9775e-06
8.4960e+02,3.9842e-06
8.4980e+02,3.9909e-06
8.5000e+02,3.9708e-06
8.5020e+02,3.9708e-06
8.5040e+02,3.9909e-06
8.5060e+02,3.9775e-06
8.5080e+02,3.9575e-06
8.5100e+02,3.9809e-06
8.5120e+02,3.9876e-06
8.5140e+02,3.9742e-06
8.5160e+02,3.9775e-06
8.5180e+02,3.9943e-06
8.5200e+02,4.0043e-06
8.5220e+02,3.9943e-06
8.5240e+02,3.9976e-06
8.5260e+02,4.0076e-06
8.5280e+02,4.0076e-06
8.5300e+02,3.9842e-06
8.5320e+02,3.9943e-06
8.5340e+02,4.0110e-06
8.5360e+02,3.9976e-06
8.5380e+02,3.9943e-06
8.5400e+02,4.0177e-06
8.5420e+02,4.0177e-06
8.5440e+02,4.0043e-06
8.5460e+02,4.0043e-06
8.5480e+02,4.0177e-06
8.5500e+02,4.0244e-06
8.5520e+02,4.0076e-06
8.5540e+02,4.0244e-06
8.5560e+02,4.0478e-06
8.5580e+02,4.0344e-06
8.5600e+02,4.0244e-06
8.5620e+02,4.0378e-06
8.5640e+02,4.0311e-06
8.5660e+02,4.0076e-06
8.5680e+02,4.0244e-06
8.5700e+02,4.0344e-06
8.5720e+02,4.0210e-06
8.5740e+02,4.0177e-06
8.5760e+02,4.0277e-06
8.5780e+02,4.0311e-06
8.5800e+02,4.0244e-06
8.5820e+02,4.0210e-06
8.5840e+02,4.0311e-06
8.5860e+02,4.0378e-06
8.5880e+02,4.0177e-06
8.5900e+02,4.0244e-06
8.5920e+02,4.0411e-06
8.5940e+02,4.0311e-06
8.5960e+02,4.0244e-06
8.5980e+02,4.0444e-06
8.6000e+02,4.0545e-06
8.6020e+02,4.0344e-06
8.6040e+02,4.0411e-06
8.6060e+02,4.0478e-06
8.6080e+02,4.0545e-06
8.6100e+02,4.0378e-06
8.6120e+02,4.0478e-06
8.6140e+02,4.0745e-06
8.6160e+02,4.0612e-06
8.6180e+02,4.0511e-06
8.6200e+02,4.0679e-06
8.6220e+02,4.0645e-06
8.6240e+02,4.0578e-06
8.6260e+02,4.0578e-06
8.6280e+02,4.0679e-06
8.6300e+02,4.0712e-06
8.6320e+02,4.0578e-06
8.6340e+02,4.0812e-06
8.6360e+02,4.0913e-06
8.6380e+02,4.0812e-06
8.6400e+02,4.0812e-06
8.6420e+02,4.0913e-06
8.6440e+02,4.0913e-06
8.6460e+02,4.0712e-06
8.6480e+02,4.0679e-06
8.6500e+02,4.0879e-06
8.6520e+02,4.0745e-06
8.6540e+02,4.0578e-06
8.6560e+02,4.0745e-06
8.6580e+02,4.0779e-06
8.6600e+02,4.0679e-06
8.6620e+02,4.0578e-06
8.6640e+02,4.0712e-06
8.6660e+02,4.0745e-06
8.6680e+02,4.0545e-06
8.6700e+02,4.0578e-06
8.6720e+02,4.0779e-06
8.6740e+02,4.0645e-06
8.6760e+02,4.0612e-06
8.6780e+02,4.0779e-06
8.6800e+02,4.0812e-06
8.6820e+02,4.0679e-06
8.6840e+02,4.0545e-06
8.6860e+02,4.0645e-06
8.6880e+02,4.0712e-06
8.6900e+02,4.0511e-06
8.6920e+02,4.0645e-06
8.6940e+02,4.0779e-06
8.6960e+02,4.0712e-06
8.6980e+02,4.0679e-06
8.7000e+02,4.0846e-06
8.7020e+02,4.0946e-06
8.7040e+02,4.0846e-06
8.7060e+02,4.0779e-06
8.7080e+02,4.0946e-06
8.7100e+02,4.0812e-06
8.7120e+02,4.0645e-06
8.7140e+02,4.0712e-06
8.7160e+02,4.0779e-06
8.7180e+02,4.0679e-06
8.7200e+02,4.0545e-06
8.7220e+02,4.0679e-06
8.7240e+02,4.0879e-06
8.7260e+02,4.0712e-06
8.7280e+02,4.0812e-06
8.7300e+02,4.0946e-06
8.7320e+02,4.0946e-06
8.7340e+02,4.0846e-06
8.7360e+02,4.0913e-06
8.7380e+02,4.1080e-06
8.7400e+02,4.0879e-06
8.7420e+02,4.0779e-06
8.7440e+02,4.0946e-06
8.7460e+02,4.0913e-06
8.7480e+02,4.0913e-06
8.7500e+02,4.0846e-06
8.7520e+02,4.1113e-06
8.7540e+02,4.1113e-06
8.7560e+02,4.0879e-06
8.7580e+02,4.1013e-06
8.7600e+02,4.1080e-06
8.7620e+02,4.1047e-06
8.7640e+02,4.0946e-06
8.7660e+02,4.1080e-06
8.7680e+02,4.1147e-06
8.7700e+02,4.0846e-06
8.7720e+02,4.0846e-06
8.7740e+02,4.0980e-06
8.7760e+02,4.0879e-06
8.7780e+02,4.0679e-06
8.7800e+02,4.0779e-06
8.7820e+02,4.0913e-06
8.7840e+02,4.0779e-06
8.7860e+02,4.0645e-06
8.7880e+02,4.0812e-06
8.7900e+02,4.0779e-06
8.7920e+02,4.0712e-06
8.7940e+02,4.0779e-06
8.7960e+02,4.0913e-06
8.7980e+02,4.0846e-06
8.8000e+02,4.0645e-06
8.8020e+02,4.0812e-06
8.8040e+02,4.0812e-06
8.8060e+02,4.0612e-06
8.8080e+02,4.0545e-06
8.8100e+02,4.0745e-06
8.8120e+02,4.0812e-06
8.8140e+02,4.0612e-06
8.8160e+02,4.0745e-06
8.8180e+02,4.0712e-06
8.8200e+02,4.0578e-06
8.8220e+02,4.0444e-06
8.8240e+02,4.0545e-06
8.8260e+02,4.0679e-06
8.8280e+02,4.0478e-06
8.8300e+02,4.0344e-06
8.8320e+02,4.0545e-06
8.8340e+02,4.0511e-06
8.8360e+02,4.0478e-06
8.8380e+02,4.0478e-06
8.8400e+02,4.0712e-06
8.8420e+02,4.0578e-06
8.8440e+02,4.0378e-06
8.8460e+02,4.0545e-06
8.8480e+02,4.0545e-06
8.8500e+02,4.0378e-06
8.8520e+02,4.0311e-06
8.8540e+02,4.0578e-06
8.8560e+02,4.0444e-06
8.8580e+02,4.0244e-06
8.8600e+02,4.0478e-06
8.8620e+02,4.0578e-06
8.8640e+02,4.0478e-06
8.8660e+02,4.0311e-06
8.8680e+02,4.0378e-06
8.8700e+02,4.0545e-06
8.8720e+02,4.0378e-06
8.8740e+02,4.0478e-06
8.8760e+02,4.0578e-06
8.8780e+02,4.0612e-06
8.8800e+02,4.0411e-06
8.8820e+02,4.0511e-06
8.8840e+02,4.0679e-06
8.8860e+02,4.0545e-06
8.8880e+02,4.0478e-06
8.8900e+02,4.0578e-06
8.8920e+02,4.0511e-06
8.8940e+02,4.0378e-06
8.8960e+02,4.0378e-06
8.8980e+02,4.0578e-06
8.9000e+02,4.0478e-06
8.9020e+02,4.0210e-06
8.9040e+02,4.0344e-06
8.9060e+02,4.0444e-06
8.9080e+02,4.0378e-06
8.9100e+02,4.0210e-06
8.9120e+02,4.0344e-06
8.9140e+02,4.0311e-06
8.9160e+02,4.0076e-06
8.9180e+02,4.0043e-06
8.9200e+02,4.0143e-06
8.9220e+02,4.0076e-06
8.9240e+02,3.9909e-06
8.9260e+02,3.9909e-06
8.9280e+02,3.9976e-06
8.9300e+02,3.9775e-06
8.9320e+02,3.9708e-06
8.9340e+02,3.9842e-06
8.9360e+02,3.9909e-06
8.9380e+02,3.9708e-06
8.9400e+02,3.9675e-06
8.9420e+02,3.9775e-06
8.9440e+02,3.9642e-06
8.9460e+02,3.9407e-06
8.9480e+02,3.9340e-06
8.9500e+02,3.9407e-06
8.9520e+02,3.9240e-06
8.9540e+02,3.9173e-06
8.9560e+02,3.9340e-06
8.9580e+02,3.9374e-06
8.9600e+02,3.9207e-06
8.9620e+02,3.9307e-06
8.9640e+02,3.9441e-06
8.9660e+02,3.9441e-06
8.9680e+02,3.9274e-06
8.9700e+02,3.9441e-06
8.9720e+02,3.9474e-06
8.9740e+02,3.9340e-06
8.9760e+02,3.9307e-06
8.9780e+02,3.9474e-06
8.9800e+02,3.9441e-06
8.9820e+02,3.9140e-06
8.9840e+02,3.9106e-06
8.9860e+02,3.9207e-06
8.9880e+02,3.9106e-06
8.9900e+02,3.9039e-06
8.9920e+02,3.9173e-06
8.9940e+02,3.9140e-06
8.9960e+02,3.9006e-06
8.9980e+02,3.8805e-06
9.0000e+02,3.8839e-06
9.0020e+02,3.8738e-06
9.0040e+02,3.8471e-06
9.0060e+02,3.8471e-06
9.0080e+02,3.8571e-06
9.0100e+02,3.8370e-06
9.0120e+02,3.8203e-06
9.0140e+02,3.8303e-06
9.0160e+02,3.8237e-06
9.0180e+02,3.8036e-06
9.0200e+02,3.7969e-06
9.0220e+02,3.7902e-06
9.0240e+02,3.7869e-06
9.0260e+02,3.7534e-06
9.0280e+02,3.7467e-06
9.0300e+02,3.7567e-06
9.0320e+02,3.7333e-06
9.0340e+02,3.7233e-06
9.0360e+02,3.7367e-06
9.0380e+02,3.7300e-06
9.0400e+02,3.7032e-06
9.0420e+02,3.6999e-06
9.0440e+02,3.7133e-06
9.0460e+02,3.6965e-06
9.0480e+02,3.6798e-06
9.0500e+02,3.6731e-06
9.0520e+02,3.6698e-06
9.0540e+02,3.6497e-06
9.0560e+02,3.6363e-06
9.0580e+02,3.6363e-06
9.0600e+02,3.6397e-06
9.0620e+02,3.6162e-06
9.0640e+02,3.6129e-06
9.0660e+02,3.6229e-06
9.0680e+02,3.6062e-06
9.0700e+02,3.5828e-06
9.0720e+02,3.5861e-06
9.0740e+02,3.5895e-06
9.0760e+02,3.5661e-06
9.0780e+02,3.5594e-06
9.0800e+02,3.5661e-06
9.0820e+02,3.5594e-06
9.0840e+02,3.5393e-06
9.0860e+02,3.5293e-06
9.0880e+02,3.5226e-06
9.0900e+02,3.5125e-06
9.0920e+02,3.4824e-06
9.0940e+02,3.4824e-06
9.0960e+02,3.4791e-06
9.0980e+02,3.4456e-06
9.1000e+02,3.4122e-06
9.1020e+02,3.3988e-06
9.1040e+02,3.3687e-06
9.1060e+02,3.3189e-06
9.1080e+02,3.2774e-06
9.1100e+02,3.2506e-06
9.1120e+02,3.1991e-06
9.1140e+02,3.1339e-06
9.1160e+02,3.0907e-06
9.1180e+02,3.0338e-06
9.1200e+02,2.9535e-06
9.1220e+02,2.8826e-06
9.1240e+02,2.8167e-06
9.1260e+02,2.7371e-06
9.1280e+02,2.6478e-06
9.1300e+02,2.5826e-06
9.1320e+02,2.5230e-06
9.1340e+02,2.4484e-06
9.1360e+02,2.3905e-06
9.1380e+02,2.3557e-06
9.1400e+02,2.3347e-06
9.1420e+02,2.3159e-06
9.1440e+02,2.3166e-06
9.1460e+02,2.3417e-06
9.1480e+02,2.3644e-06
9.1500e+02,2.3892e-06
9.1520e+02,2.4350e-06
9.1540e+02,2.4778e-06
9.1560e+02,2.5110e-06
9.1580e+02,2.5351e-06
9.1600e+02,2.5752e-06
9.1620e+02,2.6127e-06
9.1640e+02,2.6428e-06
9.1660e+02,2.6806e-06
9.1680e+02,2.7301e-06
9.1700e+02,2.7696e-06
9.1720e+02,2.7990e-06
9.1740e+02,2.8442e-06
9.1760e+02,2.8967e-06
9.1780e+02,2.9301e-06
9.1800e+02,2.9622e-06
9.1820e+02,3.0144e-06
9.1840e+02,3.0455e-06
9.1860e+02,3.0576e-06
9.1880e+02,3.0813e-06
9.1900e+02,3.1108e-06
9.1920e+02,3.1155e-06
9.1940e+02,3.1098e-06
9.1960e+02,3.1185e-06
9.1980e+02,3.1288e-06
9.2000e+02,3.1272e-06
9.2020e+02,3.1255e-06
9.2040e+02,3.1459e-06
9.2060e+02,3.1543e-06
9.2080e+02,3.1436e-06
9.2100e+02,3.1569e-06
9.2120e+02,3.1824e-06
9.2140e+02,3.1901e-06
9.2160e+02,3.1884e-06
9.2180e+02,3.2088e-06
9.2200e+02,3.2162e-06
9.2220e+02,3.1891e-06
9.2240e+02,3.1690e-06
9.2260e+02,3.1656e-06
9.2280e+02,3.1489e-06
9.2300e+02,3.1104e-06
9.2320e+02,3.0850e-06
9.2340e+02,3.0673e-06
9.2360e+02,3.0375e-06
9.2380e+02,2.9980e-06
9.2400e+02,2.9693e-06
9.2420e+02,2.9368e-06
9.2440e+02,2.8883e-06
9.2460e+02,2.8398e-06
9.2480e+02,2.8037e-06
9.2500e+02,2.7669e-06
9.2520e+02,2.7087e-06
9.2540e+02,2.6692e-06
9.2560e+02,2.6311e-06
9.2580e+02,2.5809e-06
9.2600e+02,2.5361e-06
9.2620e+02,2.5183e-06
9.2640e+02,2.4932e-06
9.2660e+02,2.4675e-06
9.2680e+02,2.4491e-06
9.2700e+02,2.4461e-06
9.2720e+02,2.4377e-06
9.2740e+02,2.4237e-06
9.2760e+02,2.4233e-06
9.2780e+02,2.4300e-06
9.2800e+02,2.4180e-06
9.2820e+02,2.4029e-06
9.2840e+02,2.4099e-06
9.2860e+02,2.4069e-06
9.2880e+02,2.3869e-06
9.2900e+02,2.3782e-06
9.2920e+02,2.3795e-06
9.2940e+02,2.3634e-06
9.2960e+02,2.3373e-06
9.2980e+02,2.3363e-06
9.3000e+02,2.3360e-06
9.3020e+02,2.3213e-06
9.3040e+02,2.3153e-06
9.3060e+02,2.3243e-06
9.3080e+02,2.3337e-06
9.3100e+02,2.3307e-06
9.3120e+02,2.3407e-06
9.3140e+02,2.3648e-06
9.3160e+02,2.3795e-06
9.3180e+02,2.3885e-06
9.3200e+02,2.4079e-06
9.3220e+02,2.4273e-06
9.3240e+02,2.4297e-06
9.3260e+02,2.4253e-06
9.3280e+02,2.4330e-06
9.3300e+02,2.4334e-06
9.3320e+02,2.4146e-06
9.3340e+02,2.4053e-06
9.3360e+02,2.4012e-06
9.3380e+02,2.3778e-06
9.3400e+02,2.3424e-06
9.3420e+02,2.3139e-06
9.3440e+02,2.2868e-06
9.3460e+02,2.2430e-06
9.3480e+02,2.2072e-06
9.3500e+02,2.1932e-06
9.3520e+02,2.1647e-06
9.3540e+02,2.1209e-06
9.3560e+02,2.0851e-06
9.3580e+02,2.0540e-06
9.3600e+02,2.0102e-06
9.3620e+02,1.9627e-06
9.3640e+02,1.9279e-06
9.3660e+02,1.8897e-06
9.3680e+02,1.8446e-06
9.3700e+02,1.8028e-06
9.3720e+02,1.7827e-06
9.3740e+02,1.7670e-06
9.3760e+02,1.7539e-06
9.3780e+02,1.7596e-06
9.3800e+02,1.7697e-06
9.3820e+02,1.7760e-06
9.3840e+02,1.7800e-06
9.3860e+02,1.7904e-06
9.3880e+02,1.7887e-06
9.3900e+02,1.7676e-06
9.3920e+02,1.7392e-06
9.3940e+02,1.7135e-06
9.3960e+02,1.6743e-06
9.3980e+02,1.6278e-06
9.4000e+02,1.5847e-06
9.4020e+02,1.5452e-06
9.4040e+02,1.5007e-06
