# wavelength in nm, signal in a.u.
8.3960e+02,1.5160e-09
8.3980e+02,2.1640e-09
8.4000e+02,1.2133e-19
8.4020e+02,2.6680e-09
8.4040e+02,1.2574e-20
8.4060e+02,2.7310e-10
8.4080e+02,2.1010e-11
8.4100e+02,0.0000e+00
8.4120e+02,9.4249e-20
8.4140e+02,2.0220e-09
8.4160e+02,4.4230e-10
8.4180e+02,1.3270e-09
8.4200e+02,4.0010e-10
8.4220e+02,4.0223e-20
8.4240e+02,8.4240e-10
8.4260e+02,1.8740e-09
8.4280e+02,2.1270e-09
8.4300e+02,1.0320e-09
8.4320e+02,5.0660e-10
8.4340e+02,4.6976e-20
8.4360e+02,9.4990e-10
8.4380e+02,7.9185e-20
8.4400e+02,1.5830e-09
8.4420e+02,1.1400e-09
8.4440e+02,1.0340e-09
8.4460e+02,1.0340e-09
8.4480e+02,4.2310e-11
8.4500e+02,6.4921e-21
8.4520e+02,1.2690e-10
8.4540e+02,8.7575e-21
8.4560e+02,1.6930e-10
8.4580e+02,0.0000e+00
8.4600e+02,0.0000e+00
8.4620e+02,0.0000e+00
8.4640e+02,4.9328e-20
8.4660e+02,9.3310e-10
8.4680e+02,1.3150e-09
8.4700e+02,6.7860e-10
8.4720e+02,2.6300e-09
8.4740e+02,8.2700e-10
8.4760e+02,6.1500e-10
8.4780e+02,5.2076e-20
8.4800e+02,9.5430e-10
8.4820e+02,1.9550e-09
8.4840e+02,0.0000e+00
8.4860e+02,0.0000e+00
8.4880e+02,2.3681e-20
8.4900e+02,4.2510e-10
8.4920e+02,0.0000e+00
8.4940e+02,4.0670e-20
8.4960e+02,7.2270e-10
8.4980e+02,1.4529e-20
8.5000e+02,2.5560e-10
8.5020e+02,5.4621e-20
8.5040e+02,9.6090e-10
8.5060e+02,0.0000e+00
8.5080e+02,4.5915e-20
8.5100e+02,7.9190e-10
8.5120e+02,1.1915e-19
8.5140e+02,2.0550e-09
8.5160e+02,2.4880e-09
8.5180e+02,2.9390e-09
8.5200e+02,1.6300e-09
8.5220e+02,1.6770e-09
8.5240e+02,3.6550e-10
8.5260e+02,1.2040e-09
8.5280e+02,2.1980e-09
8.5300e+02,2.8020e-10
8.5320e+02,1.7020e-09
8.5340e+02,1.9010e-09
8.5360e+02,8.6400e-10
8.5380e+02,3.2180e-09
8.5400e+02,7.3610e-10
8.5420e+02,1.9700e-09
8.5440e+02,2.8210e-10
8.5460e+02,0.0000e+00
8.5480e+02,4.0799e-21
8.5500e+02,6.5250e-11
8.5520e+02,4.5670e-09
8.5540e+02,0.0000e+00
8.5560e+02,0.0000e+00
8.5580e+02,0.0000e+00
8.5600e+02,2.0869e-20
8.5620e+02,3.2780e-10
8.5640e+02,1.5300e-10
8.5660e+02,1.6170e-09
8.5680e+02,2.3430e-09
8.5700e+02,9.1980e-10
8.5720e+02,5.1206e-20
8.5740e+02,7.9020e-10
8.5760e+02,1.0328e-19
8.5780e+02,1.5800e-09
8.5800e+02,0.0000e+00
8.5820e+02,2.1179e-19
8.5840e+02,3.2120e-09
8.5860e+02,0.0000e+00
8.5880e+02,3.8756e-19
8.5900e+02,5.7780e-09
8.5920e+02,1.3040e-09
8.5940e+02,4.9339e-20
8.5960e+02,7.2940e-10
8.5980e+02,1.6840e-09
8.6000e+02,9.5260e-10
8.6020e+02,2.4150e-09
8.6040e+02,1.0210e-09
8.6060e+02,9.9525e-20
8.6080e+02,1.4470e-09
8.6100e+02,1.1130e-09
8.6120e+02,9.3480e-10
