sigma_a_Yb:FP15_x	sigma_a_Yb:FP15_y	sigma_e_Füchtbauer_x	sigma_e_Füchtbauer_y	sigma_e_McCumber_x	sigma_e_McCumber_y	sigma_e_average_x	sigma_e_average_y	sigma_a_average_x	sigma_a_average_y
8.13300e+02	1.19288e-23	8.13300e+02	3.99649e-23	8.13300e+02	6.97095e-28	8.13300e+02	6.97095e-28	8.13300e+02	1.19288e-23
8.13650e+02	1.19266e-23	8.13650e+02	3.92398e-23	8.13650e+02	7.15179e-28	8.13650e+02	7.15179e-28	8.13650e+02	1.19266e-23
8.14000e+02	1.03034e-23	8.14000e+02	3.91098e-23	8.14000e+02	6.33982e-28	8.14000e+02	6.33982e-28	8.14000e+02	1.03034e-23
8.14350e+02	7.38739e-24	8.14350e+02	3.95162e-23	8.14350e+02	4.66414e-28	8.14350e+02	4.66414e-28	8.14350e+02	7.38739e-24
8.14700e+02	4.74848e-24	8.14700e+02	3.97751e-23	8.14700e+02	3.07617e-28	8.14700e+02	3.07617e-28	8.14700e+02	4.74848e-24
8.15050e+02	2.48600e-24	8.15050e+02	3.94830e-23	8.15050e+02	1.65243e-28	8.15050e+02	1.65243e-28	8.15050e+02	2.48600e-24
8.15400e+02	2.38531e-24	8.15400e+02	3.88754e-23	8.15400e+02	1.62676e-28	8.15400e+02	1.62676e-28	8.15400e+02	2.38531e-24
8.15750e+02	5.52656e-24	8.15750e+02	3.83650e-23	8.15750e+02	3.86705e-28	8.15750e+02	3.86705e-28	8.15750e+02	5.52656e-24
8.16100e+02	7.59864e-24	8.16100e+02	3.80640e-23	8.16100e+02	5.45504e-28	8.16100e+02	5.45504e-28	8.16100e+02	7.59864e-24
8.16450e+02	1.00094e-23	8.16450e+02	3.79219e-23	8.16450e+02	7.37219e-28	8.16450e+02	7.37219e-28	8.16450e+02	1.00094e-23
8.16800e+02	1.25238e-23	8.16800e+02	3.80748e-23	8.16800e+02	9.46332e-28	8.16800e+02	9.46332e-28	8.16800e+02	1.25238e-23
8.17150e+02	1.50851e-23	8.17150e+02	3.87046e-23	8.17150e+02	1.16940e-27	8.17150e+02	1.16940e-27	8.17150e+02	1.50851e-23
8.17500e+02	1.54563e-23	8.17500e+02	3.95487e-23	8.17500e+02	1.22920e-27	8.17500e+02	1.22920e-27	8.17500e+02	1.54563e-23
8.17850e+02	1.61660e-23	8.17850e+02	3.98952e-23	8.17850e+02	1.31889e-27	8.17850e+02	1.31889e-27	8.17850e+02	1.61660e-23
8.18200e+02	1.71993e-23	8.18200e+02	3.93080e-23	8.18200e+02	1.43945e-27	8.18200e+02	1.43945e-27	8.18200e+02	1.71993e-23
8.18550e+02	1.87065e-23	8.18550e+02	3.82211e-23	8.18550e+02	1.60601e-27	8.18550e+02	1.60601e-27	8.18550e+02	1.87065e-23
8.18900e+02	2.14101e-23	8.18900e+02	3.75374e-23	8.18900e+02	1.88554e-27	8.18900e+02	1.88554e-27	8.18900e+02	2.14101e-23
8.19250e+02	2.35808e-23	8.19250e+02	3.76280e-23	8.19250e+02	2.13024e-27	8.19250e+02	2.13024e-27	8.19250e+02	2.35808e-23
8.19600e+02	2.63209e-23	8.19600e+02	3.79711e-23	8.19600e+02	2.43900e-27	8.19600e+02	2.43900e-27	8.19600e+02	2.63209e-23
8.19950e+02	2.72939e-23	8.19950e+02	3.78907e-23	8.19950e+02	2.59424e-27	8.19950e+02	2.59424e-27	8.19950e+02	2.72939e-23
8.20300e+02	2.80154e-23	8.20300e+02	3.74179e-23	8.20300e+02	2.73127e-27	8.20300e+02	2.73127e-27	8.20300e+02	2.80154e-23
